timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,-37.96,243.65,-15.69,0.28,-0.57,0.71,n,1715782262175
14,-46.39,252.44,-9.34,0.29,-0.63,0.84,n,1715782262480
"
26",-44.07,218.75,-14.71,0.22,-0.73,0.84,n,1715782262480
"
38",-37.23,177.92,-16.11,0.29,-0.79,0.82,n,1715782262480
"
50",-28.81,131.96,-20.32,0.29,-0.87,0.81,n,1715782262480
"
62",-10.62,79.65,-8.48,0.04,-0.85,0.80,n,1715782262480
"
74",4.64,3.05,-0.24,-0.12,-0.75,0.77,n,1715782262480
"
86",8.48,-56.34,-3.78,0.12,-0.68,0.78,n,1715782262480
"
98",4.21,-86.24,-4.64,0.24,-0.66,0.78,n,1715782262480
"
110",3.42,-100.52,-4.64,0.28,-0.71,0.79,n,1715782262480
"
122",4.64,-117.13,-3.72,0.28,-0.72,0.77,n,1715782262480
"
134",6.90,-137.51,-4.27,0.33,-0.70,0.74,n,1715782262480
"
146",6.47,-150.57,1.34,0.44,-0.71,0.72,n,1715782262480
"
158",8.06,-156.37,12.02,0.48,-0.75,0.72,n,1715782262480
"
170",12.27,-159.91,21.18,0.50,-0.73,0.73,n,1715782262480
"
182",12.88,-154.85,29.11,0.49,-0.70,0.71,n,1715782262480
"
194",12.02,-146.79,33.33,0.45,-0.69,0.73,n,1715782262480
"
206",15.87,-148.25,32.90,0.43,-0.70,0.70,n,1715782262480
"
218",19.10,-146.79,31.86,0.51,-0.66,0.68,n,1715782262480
"
230",17.46,-137.94,33.02,0.58,-0.65,0.65,n,1715782262480
"
242",17.21,-124.76,34.79,0.52,-0.66,0.64,n,1715782262480
"
254",15.50,-115.54,36.87,0.42,"-0.63,",1715782262480
0.59,n,1715782262480
"
266",11.05,-110.96,38.82,0.44,-0.60,0.55,n,1715782262480
"
278",6.96,-107.18,38.45,0.44,-0.60,0.52,n,1715782262480
"
290",3.30,-106.99,35.40,0.42,-0.63,0.52,n,1715782262480
302,1.46,-102.17,33.57,0.44,-0.63,0.48,n,1715782262563
"
315",1.65,-97.72,29.48,0.49,-0.64,0.50,n,1715782262563
"
327",2.62,-87.77,26.43,0.55,-0.66,0.51,n,1715782262563
"
339",3.36,-69.15,26.18,0.61,-0.63,0.48,n,1715782262563
