timestamp_mills_ms,GX,GY,GZ,AX,AY,AZ,sync,timestamp_listener
1,2.56,-21.24,20.20,0.53,-0.63,0.49,n,1715782423146
14,2.62,-21.36,22.89,0.51,-0.63,0.48,n,1715782423448
"
26",1.71,-26.37,25.33,0.50,-0.64,0.48,n,1715782423448
"
38",2.32,-33.14,25.39,0.49,-0.65,0.47,n,1715782423448
"
50",1.71,-42.60,24.29,0.49,-0.66,0.45,n,1715782423448
"
62",2.32,-47.97,26.31,0.53,-0.65,0.43,n,1715782423448
"
74",1.89,-45.84,26.43,0.58,-0.63,0.42,n,1715782423448
"
86",0.55,-37.84,26.79,0.60,-0.63,0.43,n,1715782423448
"
98",-1.40,-20.51,27.28,0.65,-0.63,0.44,n,1715782423448
"
110",-5.31,4.09,26.37,0.65,-0.62,0.44,n,1715782423448
"
122",-10.07,31.19,25.94,0.61,-0.61,0.46,n,1715782423448
"
134",-16.72,70.43,16.78,0.48,-0.66,0.53,n,1715782423448
"
146",-25.63,121.58,-3.91,0.50,-0.67,0.57,n,1715782423448
"
158",-36.13,211.98,-25.09,0.64,-0.63,0.67,n,1715782423448
"
170",-58.90,356.32,-27.83,0.84,-0.66,0.88,n,1715782423448
"
182",-81.73,535.58,-27.53,1.06,-0.77,1.12,n,1715782423448
"
194",-85.33,693.12,-7.08,1.34,-0.77,0.82,n,1715782423448
"
206",-70.98,785.71,28.20,1.30,-0.80,0.78,n,1715782423448
"
218",-17.58,785.40,-8.61,1.02,-0.56,0.51,n,1715782423448
"
230",-71.59,656.92,-26.43,-1.21,-1.36,0.38,n,1715782423448
"
242",-10.80,305.91,-42.48,-1.63,-1.30,0.50,n,1715782423448
"
254",22.58,58.72,-30.03,-0.59,-0.54,0.,1715782423448
32,n,1715782423449
"
266",22.83,-35.52,-16.60,0.00,-0.53,0.24,n,1715782423449
"
278",28.69,-50.42,-7.32,0.19,-0.40,0.23,n,1715782423449
"
290",18.49,-61.28,3.30,0.05,-0.47,0.34,n,1715782423449
302,10.01,-100.59,8.79,0.00,-0.58,0.52,n,1715782423538
"
316",7.45,-176.27,8.42,0.07,-0.70,0.81,n,1715782423539
"
328",1.59,-205.57,15.32,0.30,-0.77,1.00,n,1715782423539
"
340",-7.08,-214.48,28.26,0.31,-0.83,1.16,n,1715782423539
"
352",-13.73,-224.61,46.75,0.29,-0.96,1.25,n,1715782423539
"
364",-10.19,-226.99,53.41,0.25,-1.02,1.22,n,1715782423539
"
376",2.32,-224.79,53.22,0.26,-1.03,1.13,n,1715782423539
"
388",20.57,-236.02,47.73,0.09,-0.96,0.98,n,1715782423539
400,38.76,-252.26,43.03,0.13,-0.78,0.84,n,1715782423754
"
412",36.80,-258.54,35.16,0.23,-0.63,0.69,n,1715782423754
"
424",35.52,-263.67,20.75,0.23,-0.59,0.60,n,1715782423754
"
436",34.18,-262.45,3.60,0.20,-0.60,0.48,n,1715782423754
"
448",32.47,-263.79,-1.59,0.28,-0.55,0.39,n,1715782423754
"
460",31.19,-258.42,-8.85,0.37,-0.53,0.43,n,1715782423754
"
472",26.67,-241.94,-12.94,0.47,-0.52,0.44,n,1715782423754
"
484",17.64,-220.89,-11.84,0.62,-0.52,0.41,n,1715782423754
"
496",13.49,-192.02,-3.48,0.71,-0.54,0.38,n,1715782423754
"
508",10.07,-156.37,4.09,0.73,-0.53,0.31,n,1715782423754
"
520",5.07,-121.03,9.09,0.71,-0.50,0.26,n,1715782423754
"
532",0.98,-82.70,15.93,0.73,-0.51,0.36,n,1715782423754
"
544",-6.41,-44.49,22.22,0.59,-0.54,0.34,n,1715782423754
"
556",-11.78,-18.74,21.55,0.58,-0.54,0.40,n,1715782423754
"
568",-16.85,9.34,18.37,0.63,-0.54,0.49,n,1715782423754
"
580",-22.64,56.88,16.05,0.76,-0.53,0.52,n,1715782423754
"
592",-33.63,138.24,12.02,0.89,-0.55,0.52,n,1715782423754
"
604",-48.34,247.44,5.55,0.90,-0.63,0.48,n,1715782423754
616,-55.91,367.37,1.65,0.73,-0.65,0.47,n,1715782423797
"
628",-55.73,465.33,-4.27,0.60,-0.64,0.61,n,1715782423798
"
640",-55.79,520.02,-4.09,0.41,-0.69,0.75,n,1715782423798
"
652",-62.32,542.05,2.99,0.19,-0.74,0.86,n,1715782423798
666,-66.10,504.09,-13.24,0.05,-1.06,1.00,n,1715782423843
"
678",-23.86,411.80,-31.13,0.17,-1.02,0.99,n,1715782423843
"
690",2.56,328.00,-60.12,-0.06,-0.80,0.79,n,1715782423843
702,-24.35,213.26,-23.99,-0.50,-1.05,0.80,n,1715782423891
"
714",-3.78,107.42,-18.86,-0.28,-0.99,0.68,n,1715782423891
"
726",10.62,49.62,-16.60,-0.23,-0.72,0.61,n,1715782423891
"
738",5.13,7.08,-9.89,-0.19,-0.68,0.56,n,1715782423891
750,-1.04,-36.93,0.06,-0.18,-0.73,0.57,n,1715782424077
"
762",-3.17,-81.97,11.54,-0.17,-0.77,0.64,n,1715782424077
"
774",-1.65,-136.78,23.50,-0.19,-0.77,0.67,n,1715782424077
"
786",-3.05,-188.66,28.87,-0.13,-0.77,0.65,n,1715782424077
"
798",-0.06,-223.51,36.25,-0.07,-0.82,0.65,n,1715782424077
"
810",7.26,-238.53,27.47,-0.04,-0.81,0.63,n,1715782424077
"
822",13.98,-259.46,21.12,-0.05,-0.73,0.64,n,1715782424077
"
834",14.16,-287.54,16.66,0.05,-0.69,0.61,n,1715782424078
"
846",15.14,-317.32,15.26,0.15,-0.66,0.57,n,1715782424078
"
858",16.72,-377.75,3.54,0.11,-0.64,0.52,n,1715782424078
"
870",17.88,-420.59,-9.46,0.29,-0.62,0.34,n,1715782424078
"
882",20.75,-421.69,-14.65,0.64,-0.66,0.36,n,1715782424078
"
894",30.21,-377.69,-12.94,0.91,-0.72,0.48,n,1715782424078
"
906",40.59,-309.88,-8.12,0.93,-0.73,0.58,n,1715782424078
"
918",46.94,-249.21,-2.81,0.80,-0.64,0.52,n,1715782424078
"
931",41.56,-208.13,3.05,0.62,-0.56,0.52,n,1715782424078
945,19.10,-167.48,23.07,0.81,-0.55,0.36,n,1715782424369
"
957",17.88,-114.14,26.43,0.97,-0.63,0.31,n,1715782424369
"
969",18.01,-51.76,29.66,0.80,-0.61,0.30,n,1715782424369
"
981",17.64,-12.27,32.59,0.59,-0.58,0.32,n,1715782424369
"
993",17.21,5.98,27.59,0.52,-0.58,0.36,n,1715782424369
"
1005",6.90,18.92,26.18,0.54,-0.57,0.36,n,1715782424369
"
1017",-2.56,36.44,20.63,0.61,-0.54,0.33,n,1715782424369
"
1029",-12.33,57.37,12.63,0.69,-0.56,0.30,n,1715782424369
"
1041",-18.49,85.69,7.63,0.71,-0.58,0.31,n,1715782424369
"
1053",-27.04,124.57,4.46,0.69,-0.56,0.32,n,1715782424369
"
1065",-39.18,177.98,-2.32,0.71,-0.57,0.46,n,1715782424369
"
1077",-49.19,258.42,-12.08,0.74,-0.61,0.59,n,1715782424369
"
1089",-58.29,355.10,-21.36,0.71,-0.67,0.70,n,1715782424369
"
1101",-66.35,449.22,-28.50,0.71,-0.74,0.81,n,1715782424370
"
1113",-70.86,524.78,-18.74,0.55,-0.83,0.90,n,1715782424370
"
1125",-59.51,544.62,-12.33,0.40,-0.91,0.90,n,1715782424370
"
1137",-37.23,523.80,-21.73,0.37,-1.06,1.10,n,1715782424370
"
1149",-4.09,476.81,-52.67,0.52,-0.98,0.92,n,1715782424370
"
1161",-6.77,409.48,-65.19,0.14,-0.87,0.73,n,1715782424370
"
1173",-29.66,306.46,-33.51,-0.37,-0.99,0.62,n,1715782424370
"
1185","-25.09,",1715782424370
196.04,-14.16,-0.49,-1.06,0.57,n,1715782424370
"
1197",-3.17,121.95,-7.81,-0.33,-0.86,0.51,n,1715782424370
"
1209",3.85,70.68,-3.97,-0.27,-0.74,0.52,n,1715782424370
"
1221",0.98,23.62,2.32,-0.30,-0.77,0.61,n,1715782424370
1234,1.22,-31.62,9.64,-0.30,-0.82,0.65,n,1715782424676
"
1246",2.87,-89.42,16.78,-0.27,-0.81,0.71,n,1715782424676
"
1258",2.69,-145.39,25.45,-0.18,-0.85,0.76,n,1715782424676
